sentiment,text,user
neutral,"Отже, війна! [анімація] 🇺🇦#Ukraine\n\n#UkraineUnderAttaсk #StopWar #UkraineWar #HelpUkraine #FreeUkraine… https://t.co/5DYWc93nFG",lukas_34w
neutral,"RT @Megakosciol: #WersetNadziei: \Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…""",GrabskiDamian
neutral,🤔 DOBRO JUTRO 🌞🌞🌞 MOJI in LEP DAN vam ŽELIM #PrayForUkraine 🇺🇦3️⃣1️⃣🇸🇮🍀 https://t.co/lbijxsYJey,Vlasta50105927
neutral,RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…,Gymnaju
positive,Keep The Light On ✨🕯✨ \n#PrayForPeace ✨🤍🕊✨\n#PrayForUSA &amp; ✨🌎✨\n#PrayForUkraine✨💙💛✨ https://t.co/QFe5yEDXIr,mostra4u
neutral,RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…,jinwonh
positive,RT @loveforrealstar: The world seems dark 😢💔Use your light to make a difference 🌿Stars thoughts for today\n🌻🙏🌻🙏🌻🙏🌻💛🌿💙💛🌿💙🌿💛Sunday blessings l…,edjlazar
neutral,平和を祈って🕊\n#PrayForUkraine #剣道 #kendo https://t.co/LqhXSlaCoE,hosimaru_kendo
neutral,"RT @DivinaMiseric20: “La humanidad no tendrá #paz hasta que se vuelva con confianza a Mi Misericordia” (Diario, 300) 🤲 #JesusEnTiConfio #Di…",CarlosLuisSwett
neutral,RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…,hajoobin
neutral,RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…,meatbrothnoodle
neutral,RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…,red63438460
neutral,RT @Arts_42: The Tragedy of Folly\nBruce Neeley ©️2022\n❤️☘️🐥❤️✨❤️🦢🪷🦢❤️\n#ArtistsOnTwitter #Art\n#Drawing #Painting 🎨\n#DigitalArt #Photo 📸\n❤️🧡💛…,9HUrne5nPVQ7p5h
neutral,김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영… https://t.co/Ca1wrIGJ5X,promunhak
neutral,"RT @Megakosciol: #WersetNadziei: \Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…""",Rysiek76102827
neutral,"@FoxNews @CNN @ABC @CBSNews \nThe God of my rock; in him will I trust: He is my shield, and the horn of my salvation… https://t.co/x1ameJBjRo",USPoliticsNMore
neutral,"RT @Megakosciol: #WersetNadziei: \Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…""",MrozekJacek
neutral,"RT @Megakosciol: #WersetNadziei: \Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…""",marianturkin1
neutral,"#WersetNadziei: \Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boż… https://t.co/LVsoQ5iZvV""",Megakosciol
neutral,"RT @HempelmannTom: We are ONE! 🌎 Inclusivity 🫂 is core to culture. While we all don’t have the same beliefs, it’s the diversity of culture…",martine_dub3
negative,( #mehrschönesauftwitter ) \n\nDaily struggle FOR life...\nBut no more colors during the war. \n#PrayForUkraine 🙏\n\nWie… https://t.co/wfvQvVsocm,MarioK_73
neutral,Ukrainian Choir Sings 'Agnus Dei' \n#PrayForUkraine #PrayForRussia\n  https://t.co/birbigY26s,ElRoiShalom
neutral,RT @hobihobihohobi: 티비에 우크라이나 나오네..호비 생일에 춤추던 우크라이나 아미들 무사하길 다시 한번 빌어본다 전쟁이 빨리 끝나 일상을 되찾길\n#PrayForUkraine,MariN_Jhope
neutral,RT @hobihobihohobi: 티비에 우크라이나 나오네..호비 생일에 춤추던 우크라이나 아미들 무사하길 다시 한번 빌어본다 전쟁이 빨리 끝나 일상을 되찾길\n#PrayForUkraine,lkiwre__0pdj1l6
neutral,#PrayForUkraine 🇺🇦,tumbleweed042
neutral,"der #art4peace Friedenskrieger kämpft um das dahin schmelzende friedliche Miteinander #musa #PrayForUkraine June 4, 2022 at 06:12AM",Friedenskriege
neutral,#PutinsWar #UkraineUnderAttaсk #StopWar #Russia #StopRussia #Putin #FreeUkraine #Украина #UkraineWar 🇺🇦#Ukraine… https://t.co/8hSSYPVioG,Piotr39_C
positive,RT @KarenCookPhotos: The #WarInUkraine has lasted 100 days &amp; still wages.  When will the brave people of @Ukraine see the sun? @UkraineLive…,JosephWalmsley2
neutral,"RT @genmaichan0804: チャリティーグッズ第7弾は「ウクライナチュールドレス👗」です🐰🇺🇦\n\nリボンやバラでウクライナカラーを使い、デザインしました💙💛\n首元のフリルもとても可愛いです💕\n\nお値段は3,000円(送料込み)です🐰\n\n#ウクライナ #ウクライナ支援…",ShrekOP
positive,RT @AMetDomestici: @ukraine_world @chryslap RIP Hero 🙏🏻 Exactly! The whole world has to support Ukraine and fight russian aggression. Ukrai…,MelissaWickers4
neutral,RT @s0und0fmyheart: 🇺🇦\n#StopWarInUkraine \n#NoWarInUkraine\n#StandWithUkraineNOW\n#GloryToUkraine\n#StayStrongUkraine \n#safeUkraine \n#PrayForUk…,izumi_wiiz
neutral,RT @s0und0fmyheart: 🇺🇦\n#StopWarInUkraine \n#NoWarInUkraine\n#StandWithUkraineNOW\n#GloryToUkraine\n#StayStrongUkraine \n#safeUkraine \n#PrayForUk…,ROBERTOFRAIOL13
neutral,"RT @MelsBracelets: Goodnight, Ukraine. #goodnight #Ukraine #sunflower #PeaceInUkraine #PrayForUkraine #NoWarInUkraine #NoWar   g645 https:/…",enji_ozuka
neutral,"Отже, війна! [анімація] 🇺🇦#Ukraine\n\n#Russia #Украина #UkraineWar #StopRussia #Putin #UkraineUnderAttaсk #StopWar… https://t.co/escF9qxP1T",Mariusz_w36
positive,Marina Mazepa is a Great Talent https://t.co/rA5eviBWI9 via @Karlwrites #PrayForUkraine,Karlwrites
positive,RT @KyivPost: 100 days Of full-scale #WarInUkraine.\n#BeBraveLikeUkraine 🇺🇦\n#StandWithUkraine #PrayForUkraine https://t.co/9kIhHsKaW0,SlaterDorie
neutral,"RT @MelsBracelets: Goodnight, Ukraine. #goodnight #Ukraine #sunflower #PeaceInUkraine #PrayForUkraine #NoWarInUkraine #NoWar   g645 https:/…",yfandy_IFB
neutral,"RT @MelsBracelets: Goodnight, Ukraine. #goodnight #Ukraine #sunflower #PeaceInUkraine #PrayForUkraine #NoWarInUkraine #NoWar   g645 https:/…",kaz2740
neutral,"der #art4peace Friedenskrieger kämpft um das dahin schmelzende friedliche Miteinander #musa #PrayForUkraine June 4, 2022 at 04:32AM",Friedenskriege
neutral,#PrayForUkraine\n#SunflowerFromJapan\n#ForOurFuture\nあっ、、！\n\n(ヒマワリは、どこ行ったっ) https://t.co/vF3obFpAxn,chimakigreeeen
positive,RT @KarenCookPhotos: The #WarInUkraine has lasted 100 days &amp; still wages.  When will the brave people of @Ukraine see the sun? @UkraineLive…,DebbieOppermann
neutral,"RT @MelsBracelets: Goodnight, Ukraine. #goodnight #Ukraine #sunflower #PeaceInUkraine #PrayForUkraine #NoWarInUkraine #NoWar   g645 https:/…",loudon_patricia
neutral,5/\n#Russian army looted or damaged 1k+ computers in #ChernobylNuclearPowerStation. Chernobyl's info director said t… https://t.co/GoM28olWyG,Daniel23501037
neutral,4/\n'Moscow faces World War 3 w/ the West' is now the dominated propagenda in #Russian media. Since the beginning of… https://t.co/rpj9l8UiXr,Daniel23501037
neutral,3/\nSome #Russian soldiers are refusing to return to fight in #Ukraine bcoz of their exp on the front line a the sta… https://t.co/y6xpAFBu7N,Daniel23501037
neutral,God Bless Ukraine 🇺🇦\n#SunflowerFromJapan \n#PrayForUkraine 🇺🇦 https://t.co/YbUlQojo3h,KoBa_Ya_SHi
neutral,"Goodnight, Ukraine. #goodnight #Ukraine #sunflower #PeaceInUkraine #PrayForUkraine #NoWarInUkraine #NoWar   g645 https://t.co/pUE58CrGgv",MelsBracelets
positive,RT @AMetDomestici: @ukraine_world @chryslap RIP Hero 🙏🏻 Exactly! The whole world has to support Ukraine and fight russian aggression. Ukrai…,putinisinsane
negative,1/\nZelensky said #Ukrainian troops have 'done what seemed impossible' &amp; stopped 'the 2nd army of the world'. He lat… https://t.co/uLdD9VvLUn,Daniel23501037
negative,Ukraine round-up: 100 days of war and some Russians refuse to fight\n\nhttps://t.co/UZlobeGuZt\n\n#RussiaUkraineWar… https://t.co/JXy82rpbwD,Daniel23501037
positive,RT @KarenCookPhotos: The #WarInUkraine has lasted 100 days &amp; still wages.  When will the brave people of @Ukraine see the sun? @UkraineLive…,RDDecker
negative,"Update, Bolts down 2-1 not good. Tequila almost gone not good. Heading to the bar. Tell Chief I love him. #PrayForUkraine",BookieBandit
positive,"RT @besstrasnij1: #Mariupol defender and photographer of the #Azov Regiment Dmytro Kozacki with the call sign \Orest received a special awa…""",amotanltd
neutral,RT @fjkohutiak: #UkraineUnderAttack #HelpUkraine #SaveUkraine #PrayForUkraine #StandWithUkraine #StopPutin #PutinWarCrimes #StopWarInUkrain…,AMatosIsAnAngel
neutral,#PrayForUkraine🇺🇦\n#PrayForPeace https://t.co/AQKQzTjRAA,TommyTommyTommy
positive,RT @Arts_42: The Joy of Expression \nBruce Neeley ©️2022\n❤️☘️🐥❤️✨❤️🦢❤️🦢❤️\n#ArtistsOnTwitter #Art\n#Drawing ✍🏻#Digital 🖥\n#DigitalPainting 🎨\n❤️…,9HUrne5nPVQ7p5h
neutral,#UkraineUnderAttack #HelpUkraine #SaveUkraine #PrayForUkraine #StandWithUkraine #StopPutin #PutinWarCrimes… https://t.co/3GifAlojae,fjkohutiak
neutral,"RT @genmaichan0804: チャリティーグッズ第7弾は「ウクライナチュールドレス👗」です🐰🇺🇦\n\nリボンやバラでウクライナカラーを使い、デザインしました💙💛\n首元のフリルもとても可愛いです💕\n\nお値段は3,000円(送料込み)です🐰\n\n#ウクライナ #ウクライナ支援…",genmaichan0804
neutral,RT @genmaichan0804: ウクライナチャリティーグッズ第6弾は「うさぎリボンストラップ🐰💙💛」です☺️\n\nリボンとストーンでウクライナの青色と黄色を組み合わせています🇺🇦\n\nうさぎパーツはパールとダイヤ素材の2種類があります🐰💎\n\nお値段は１つ600円(送料込み)…,genmaichan0804
neutral,RT @s0und0fmyheart: 🇺🇦\n#StopWarInUkraine \n#NoWarInUkraine\n#StandWithUkraineNOW\n#GloryToUkraine\n#StayStrongUkraine \n#safeUkraine \n#PrayForUk…,GtIshikawa
neutral,"der #art4peace Friedenskrieger kämpft um das dahin schmelzende friedliche Miteinander #musa #PrayForUkraine June 4, 2022 at 02:52AM",Friedenskriege
neutral,"Отже, війна! [анімація] 🇺🇦#Ukraine\n\n#StopWar #PrayForUkraine #FreeUkraine #stopputin #UkraineRussianWar #StopRussia… https://t.co/wIBmcLg2US",lukas_34w
neutral,#Gas und #Öl und andere #Energien aus #Russland nein danke Es geht auch anders!\n\n#FCKPTN \n#PutinWarCrimes… https://t.co/eFLoMZoY9D,Bastian81165171
neutral,RT @Gspirithorse: G’night my dears 😘\n“May the stars carry your sadness away. May flowers fill your heart with beauty.\nMay hope forever wipe…,JudieMacmahon
positive,RT @Arts_42: The Joy of Expression \nBruce Neeley ©️2022\n❤️☘️🐥❤️✨❤️🦢❤️🦢❤️\n#ArtistsOnTwitter #Art\n#Drawing ✍🏻#Digital 🖥\n#DigitalPainting 🎨\n❤️…,TBGTNT
neutral,RT @DYoumore: 祈りとは\n計り知れない力を秘めた\n生命の宣言\n\n祈りが繋がれば\n思いもかけない\n大きな力になる…と\n\nどうか\n1人1人の祈りが\n世界の平和のために\n一つに繋がりますように\n\n#PrayForPeace \n#PrayForUkraine \n#祈り\n#平…,juuza7777
neutral,#PrayForUkraine Já são 100 dias... 🇺🇦,WillSamoro
neutral,"RT @TARTLEofficial: Amidst the conflict in Ukraine, it is TARTLE's vision that humanity uses the Marketplace to extend their help to innoce…",TARTLEofficial
neutral,#戦争反対\n#StopPutinNOW\n#悪逆非道\n#戦争犯罪\n#genocide\n#StopRussia\n#StopWar\n#NoWar\n#PrayForUkraine\n#核廃絶\n#核戦争阻止\n力による一方的な現状変更は許されな… https://t.co/eu2V4Me7Zm,takaG7toma
neutral,"チャリティーグッズ第7弾は「ウクライナチュールドレス👗」です🐰🇺🇦\n\nリボンやバラでウクライナカラーを使い、デザインしました💙💛\n首元のフリルもとても可愛いです💕\n\nお値段は3,000円(送料込み)です🐰\n\n#ウクライナ… https://t.co/scSHxFL0EQ",genmaichan0804
neutral,"🙏🏻 #SanJuanXXIII , un Santo, sencillo , profético y diplomático Papa que puede enseñarnos mucho hoy #PrayForUs 🌏🌍🌎… https://t.co/6PBBwHj6X6",FamiliaDominGo
neutral,ご購入希望の方はこのツイートにリプかDMをよろしくお願いします☺️\n沢山のご注文お待ちしています🙆🏻‍♀️\n\nうさぎさんのキャリーバックやスマホ、ポーチなどに付けたらきっと可愛いと思います🐰\n\n#ウクライナ #ウクライナ支援… https://t.co/KU6QsZ7a3J,genmaichan0804
neutral,ウクライナチャリティーグッズ第6弾は「うさぎリボンストラップ🐰💙💛」です☺️\n\nリボンとストーンでウクライナの青色と黄色を組み合わせています🇺🇦\n\nうさぎパーツはパールとダイヤ素材の2種類があります🐰💎\n\nお値段は１つ600円(送… https://t.co/u8gZc6fwGb,genmaichan0804
neutral,#VoteBlueToSaveDemocracy  #PrayForUkraine 🇺🇦🙏💙💛\n#GunControlNow \n\nWordle 349 5/6\n\n🟨⬜⬜⬜⬜\n⬜⬜⬜🟨⬜\n🟨🟨🟩⬜🟨\n🟨🟩🟩🟨🟩\n🟩🟩🟩🟩🟩,dmckendree
neutral,"der #art4peace Friedenskrieger kämpft um das dahin schmelzende friedliche Miteinander #musa #PrayForUkraine June 4, 2022 at 01:12AM",Friedenskriege
neutral,#SunflowerFromJapan\n#PrayForUkraine\nおはようございます🌻 https://t.co/bndz1gS03j,chimakigreeeen
neutral,おはようございます。\n今朝のひまわりです。\n#SunflowerFromJapan\n#PrayForUkraine https://t.co/7Izs9kDvYU,nanao_hideout
neutral,"@strategywoman Minneapolis, Minnesota. The USA\n#StandWithUkraine \n#PrayForUkraine\n#DefeatHitlerPutin",JadeSky13692487
positive,RT @KarenCookPhotos: The #WarInUkraine has lasted 100 days &amp; still wages.  When will the brave people of @Ukraine see the sun? @UkraineLive…,HHPhotography3
neutral,#StandWithUkraine \n#PrayForUkraine\n#DefeatPutin\n#PutinWarCrimes https://t.co/jEUpTyVfZ7,JadeSky13692487
neutral,Today we celebrate #Childrens_Day\nBut #Ukraine every day under #russianattack \nOur children-children of war.\nAny pr… https://t.co/fNutpLkEHN,YValovin
negative,Russia threw all its forces into the Donbass and became vulnerable in the Kherson region. Institute for the Study o… https://t.co/0Yic4Pqi3n,helply11
positive,@JackPosobiec Did you say direct evidence? #tRUMPrussia #putin #tRUMP #TrumpRally #TrumpDancedOnUvaldesGraves… https://t.co/gMGK3O2SIG,managehours
negative,Trump-Russia DUH!\n\nSee Page 948\nhttps://t.co/UourWeaL9K\n\n#russianATTACK https://t.co/X8tA1i0LYF,managehours
positive,RT @AraVanady: Some of the current #DeadRussianSoldiers are of course very young! Anyone left in #Siberia? #RussianArmedForces #RussiaInvad…,greet_melissa
positive,Zelensky said that the #ukrainianauthorities and the military were ready for a #russianattack. The United States di… https://t.co/W2LjzRXdqb,helply11
neutral,"#NRA &amp; #gQp @gop are #russianASSet(s)PERIOD\n \n#russianATTACK!\n\Fox News\""\n#Uvalde #GregAbbott #tedcruz… https://t.co/P3gjPTundw""",managehours
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",WelduYtbarek
positive,Su-25 after being hit by manpads. The pilot landed. \n\nThe Su-25 is statistically the most survivable attack aircraf… https://t.co/59H7ZfK6nG,gahamalian
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Nahom011
neutral,“زیلینسکی بەبۆنەی تێپەڕبوونی 100 رۆژ بەسەر هێرشی رووسیا: سەرکەوتن بۆ ئێمەیە” \n#Ukraine  #UkraineWar \n\nhttps://t.co/R2EGkTi3jE,nure_mawni
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",KusuWeyenti
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",Nahom011
neutral,"RT @AbrehetTigray1: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…",Eza_Meret
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",KusuWeyenti
neutral,"RT @GiovaQuez: Salvini: \Se aspettiamo il Pd o qualcuno dei 5 Stelle per costruire la pace dovremmo attendere anni\"". Quindi è giusto che si…""",Inna22030488
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Danait70
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Tite56012815
neutral,"RT @HermelaMandela: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…",nigsti_tigray
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",Danait70
positive,🇺🇦Ready to fight.\n#Russian #Rusia #Ukraine #ukraina #UkraineWar  #UkraineRussiaWar https://t.co/PQGYTSuXO7,infussambas
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Berhane_12
neutral,"Thera are five players on Eurasia's political map: France, Germany, Russia, China, India.\nGeopolitical pivots are:… https://t.co/3SjbklbrtX",MrPopperP1
neutral,#Ukraine: #Kiev dit reprendre du terrain sur les troupes russes à #Severodonetsk. #UkraineWar #UkraineRussiaWar… https://t.co/PdwSgiaikA,RodrigueOssi
neutral,A website where Ukrainians post their diaries and stories of the war. \nWith automatic translation into &gt;70  languag… https://t.co/2UYzKiN8wM,ValeryKosta
neutral,RT @u_me_reality: 4/6\n🇷🇺⚡️🇺🇦😱🔥\nRuzzia Plundering Ukr. Steal\n#ukraine #ukrainewar #ukrainerussianwar #ukraine #ukrainian #ukrainekrieg https…,Johnyrocket69
neutral,"RT @ShahiHabesha: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #575DaysOfTigrayGenocide, remain forgot…",WelduYtbarek
neutral,"RT @weyanit_helen: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgo…",Eza_Meret
neutral,RT @sylkowa: Wer ist #StrackZimmermann ?\n\n #Ukraine #UkraineWar #Waffenlieferungen #offenerbrief #Lanz #Kriegstreiber #Doppelmoral #natoaus…,DerBardeRalph
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",gualraya12
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",saba_tesfay8
neutral,"RT @ILhamilhm3: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotte…",Eza_Meret
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",saba_tesfay8
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",gualraya12
positive,RT @UATV_en: Prez Zelensky took stock of the first 100 days of #Russia's full-fledged invasion in #Ukraine\n\nhttps://t.co/5rIfjTXfFF\n\n#Stand…,clickma
neutral,"RT @AbrehetTigray1: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…",saraA77344934
neutral,"RT @MehariAraya9: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #568DaysOfTigrayGenocide, remain forgot…",saraA77344934
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Selamhagosgmai1
neutral,RT @IndiaNews_itv: Russia Ukraine War: रूसी सेना ने अब तक यूक्रेन के किन हिस्सों पर कब्जा किया है?\n\n#RussianArmy #RussianUkrainianWar #Ukra…,SIMRANJ34199407
neutral,RT @f_fusterfabra: #Alemania y #Noruega ya trazan una ruta de negocio con #EEUU y #Canada\nen lo #energético. .. Efecto #UkraineWar para @Eu…,ObservatoriCat
positive,RT @UATV_en: Prez Zelensky took stock of the first 100 days of #Russia's full-fledged invasion in #Ukraine\n\nhttps://t.co/5rIfjTXfFF\n\n#Stand…,A_Woronecki
neutral,"RT @s71908599: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",WGebremichal
neutral,"The US, EU and UK are negotiating terms for a ceasefire in #Ukraine, sources told CNN.\n\nNegotiations are ongoing, i… https://t.co/a2ORfMkTN1",gahamalian
neutral,"RT @s71908599: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",saraA77344934
neutral,"RT @s71908599: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",GidayZed
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",Selamhagosgmai1
neutral,"RT @MehariAraya9: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #568DaysOfTigrayGenocide, remain forgot…",GidayZed
neutral,"RT @HermelaMandela: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…",Tite56012815
neutral,"RT @IndiaNews_itv: Russia Ukraine War: कितना जीता रूस, क्या पाए पुतिन ?\n\n#RussianArmy #RussianUkrainianWar #UkraineWar #UkraineUnderAttaсk…",SIMRANJ34199407
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",bettyvegas3
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",bettyvegas3
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Tsrha_Kw
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",Tsrha_Kw
neutral,4/6\n🇺🇦😱\n#ukraine #ukrainewar #ukrainerussianwar #ukraine #ukrainian #ukrainekrieg https://t.co/ioJj7b6jBv,u_me_reality
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…",Habtu27
negative,"RT @PucksReturn: #Anonymous Releases a terabyte of data and emails from RKP Law, a #Russian law firm that works with major banking, media,…",gowing2000
neutral,"RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…",Habtu27
positive,Prez Zelensky took stock of the first 100 days of #Russia's full-fledged invasion in #Ukraine… https://t.co/fRgZoPdcOa,UATV_en
neutral,"RT @ShahiHabesha: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #575DaysOfTigrayGenocide, remain forgot…",KusuWeyenti
neutral,RT @Zakaria_Z_Army: I wonder why tweety shows these messages of nonesense related to #Russia #china #iran media..\nwhile it doesn't show CIA…,HakanCavus75
neutral,"@LulzSecMafia says they had a #TangoDown on neostock[.]ru - CS:GO Community, well #ThatsUnfortunate\n\n#OpRussia… https://t.co/dUcWV5b6sB",KrazyKaoticMess
neutral,"#Chip, #container e #noli marittimi, #PNRR e #conflitto russo-ucraino. Di questo è molto altro ne abbiamo parlato c… https://t.co/9TVyN1db6L",MarioCatalano2
negative,"RT @KrazyKaoticMess: If you thought this far into #RussiaInvadedUkraine that support for #Ukraine would slow or even halt, you were sadly m…",Anna34366210
positive,RT @ukrainianwar24: More volunteers arrived in Ukraine..\n\n🇺🇦 🇦🇺🇬🇪🇺🇸🇵🇱🇬🇧🇦🇿🇵🇹🇫🇷🇨🇱🇳🇴🇫🇮\n\n#Ukraine #Russia #UkraineWar #UkraineRussiaWar \n https…,Anna34366210
positive,"RT @alemannoEU: Patriarch Kirill being removed from EU sanctions list upon Viktor Orban’s demand is the most preposterous, embarrassing and…",Richard_Scorer
neutral,"\Although Moscow would never bother asking for #Yerevan’s consent to redeploy some Russian troops from its 102nd mi… https://t.co/XXlrvFh9Iy""",AzStudies
positive,RT @KrazyKaoticMess: @Cero_On3 @DoomSec_ has a #TangoDown on rosreestr[.]gov[.]ru \n\nUnified Information Resource on Land &amp; Real Estate (par…,BornerJere
negative,"RT @KrazyKaoticMess: If you thought this far into #RussiaInvadedUkraine that support for #Ukraine would slow or even halt, you were sadly m…",BornerJere
positive,"Ukrainians used to live happily in their homes, today they live under the horror of constant #Russian attacks. That… https://t.co/Ji7o0AkTk0",LlopisMarta95
neutral,"RT @weyanit_helen: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgo…",LetezgherR
neutral,"RT @amu_mihre: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #500DaysOfTigrayGenocide, remain forgotten…",tsegamahder3
neutral,RT @IndiaNews_itv: दुनिया के अंदर दो ही देश ऐसे है जो रूस से क्रूड ऑयल ले रहें है जिसमें एक भारत है- रूस-यूक्रेन युद्ध को लेकर बोले बीजेपी…,SIMRANJ34199407
